,Title,Published_date,Views,Likes,Comments,month
0,AI: A Customer Service Revolution?,2023-05-26 12:00:21+00:00,2450,88,24,5
1,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16 12:00:25+00:00,10775,474,49,5
2,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04 12:04:56+00:00,20503,907,59,5
3,This AI question will determine our future,2023-04-06 13:00:32+00:00,3936,252,37,4
4,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03 13:00:27+00:00,69208,780,77,4
5,Your current portfolio is actually hurting you #shorts,2023-03-30 13:00:37+00:00,4232,240,2,3
6,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27 13:00:41+00:00,4575,248,3,3
7,you're job searching wrong. #shorts,2023-03-23 13:00:35+00:00,3259,198,3,3
8,The Economics of Data Roles #shorts,2023-03-21 13:00:15+00:00,5117,334,5,3
9,Why your phone knows everything you say #shorts,2023-03-18 13:00:42+00:00,2459,114,8,3
10,Read these for a successful career. #shorts,2023-03-16 01:19:35+00:00,2513,206,2,3
11,Is Your Phone Actually Listening to You? #shorts,2023-03-09 13:00:01+00:00,2262,44,5,3
12,How I Realized I Was a Bad Manager #shorts,2023-03-07 13:00:11+00:00,2398,114,1,3
13,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03 13:00:07+00:00,18042,691,52,3
14,Why I Quit Data Science... and then crawled back #shorts,2023-03-01 13:00:17+00:00,5894,202,8,3
15,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27 13:00:32+00:00,2222,147,2,2
16,Learning On the companies dime #shorts,2023-02-24 17:00:13+00:00,2806,160,1,2
17,The Best Way to Transition to Data Science? #shorts,2023-02-21 17:13:47+00:00,3346,225,6,2
18,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17 13:00:03+00:00,5221,308,6,2
19,Don't Go into Data for the Money #shorts,2023-02-15 10:00:37+00:00,3443,207,12,2
20,So you're doing your first data science project...,2023-02-13 13:00:36+00:00,4951,297,22,2
21,How to Approach Applying for a Data Role #shorts,2023-02-08 13:00:39+00:00,3500,233,7,2
22,The Hard Reality of Data Science Work #shorts,2023-02-06 19:35:25+00:00,9077,596,9,2
23,How Much Money Does a Data Scientist Make? #shorts,2023-02-03 12:00:03+00:00,4048,166,6,2
24,These 3 Things Make Data Science Special #shorts,2023-02-01 12:00:12+00:00,3869,293,6,2
25,Will Data Science Be Automated? #shorts,2023-01-27 11:00:44+00:00,6457,318,7,1
26,Is Data Science A Good Fit For You? #shorts,2023-01-25 11:00:05+00:00,4645,270,9,1
27,5 Books I Wish I Read Earlier In My Career,2023-01-23 15:31:48+00:00,8485,483,49,1
28,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19 07:00:06+00:00,4156,429,10,1
29,What Data Science Tool Would I Learn First? #shorts,2023-01-17 07:00:12+00:00,6059,451,10,1
30,How long does it take to become a Data Scientist? #shorts,2023-01-12 11:45:02+00:00,4949,403,6,1
31,Where & how to start your Data Science Journey #shorts,2023-01-09 00:35:13+00:00,6328,389,2,1
32,How I Would NOT Learn Data Science in 2023.,2023-01-03 13:00:34+00:00,113069,3793,238,1
33,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14 13:00:23+00:00,4662,195,28,12
34,The Essential Programming Concepts For Learning Data Science,2022-11-14 13:00:02+00:00,19435,824,46,11
35,The Data Content House: What You Missed,2022-10-07 13:00:04+00:00,10259,343,50,10
36,Is Data Science A Good Career?,2022-09-29 20:40:31+00:00,55702,1793,130,9
37,IRON ANALYST (Teaser) #shorts,2022-09-27 17:21:13+00:00,5533,360,24,9
38,When a New Data Scientist Joins The Team,2022-08-29 13:00:01+00:00,16113,738,133,8
39,State of Data Science - Web Data,2022-08-05 20:20:04+00:00,10385,359,34,8
40,Data Science Town Hall - State of Data Science,2022-08-04 18:34:49+00:00,9913,378,38,8
41,The Programming Roadmap For Data Science,2022-07-29 14:31:33+00:00,25664,1247,64,7
42,5 Impactful Data Science Projects For Your Portfolio,2022-06-27 13:00:10+00:00,61363,2490,91,6
43,Machine Learning Saves My Baseball Career?,2022-06-10 13:00:00+00:00,7399,336,68,6
44,Every Data Scientist... (funny!),2022-05-24 13:00:07+00:00,16025,839,146,5
45,State of Data Science (Town Hall) ft - Data Squad,2022-05-07 22:43:20+00:00,15948,431,65,5
46,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04 13:00:16+00:00,50128,1355,85,4
47,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25 13:00:38+00:00,19990,848,109,3
48,Data Scientists VS NFT Scam,2022-03-03 13:00:36+00:00,4556,189,52,3
49,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21 13:00:03+00:00,10950,509,144,2
50,What Professional Data Scientists ACTUALLY Do,2022-02-14 13:00:31+00:00,91853,3204,185,2
51,Can You Analyze My Data Better Than I Can?,2022-01-31 13:00:11+00:00,7031,320,62,1
52,Giving Back to My Most Engaged Subscribers!,2022-01-28 13:00:01+00:00,2309,119,89,1
53,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24 13:00:09+00:00,23539,766,106,1
54,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17 13:00:00+00:00,8744,422,85,1
55,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14 10:00:02+00:00,8419,250,33,1
56,The Only Data Science Explanation You Need,2022-01-10 13:00:33+00:00,48304,2078,170,1
57,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03 13:00:35+00:00,14331,644,144,1
58,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27 13:00:34+00:00,334179,14783,536,12
59,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17 14:00:01+00:00,10583,397,65,12
60,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10 13:00:22+00:00,7909,564,25,12
61,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03 13:00:14+00:00,24165,1170,147,12
62,Why Is Data Engineering So HOT Right Now?,2021-11-26 13:00:22+00:00,29119,1091,141,11
63,Is Data Science Dying?,2021-11-19 13:00:01+00:00,118793,3763,359,11
64,7 Incredible Books That Transformed My Health and My Life,2021-11-12 13:00:04+00:00,7973,389,112,11
65,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05 13:00:23+00:00,3616,203,48,11
66,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29 12:00:01+00:00,12052,277,38,10
67,ML Ops: What is it REALLY?,2021-10-22 13:00:00+00:00,6306,273,65,10
68,Business Skills for Data Science: What are they REALLY?,2021-10-18 13:00:27+00:00,6664,297,50,10
69,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12 16:05:54+00:00,2201,123,5,10
70,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08 13:00:15+00:00,5827,277,64,10
71,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20 13:00:20+00:00,12655,530,112,8
72,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07 14:00:11+00:00,10038,428,32,8
73,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06 23:04:24+00:00,40059,1559,30,8
74,How I Learned to Learn.,2021-07-31 13:00:26+00:00,50488,2349,209,7
75,Is Spotify Shuffle Really Random? #Shorts,2021-07-21 13:00:21+00:00,10129,570,50,7
76,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16 21:30:26+00:00,2374,93,30,7
77,Why are APIs Important for Data Science?,2021-07-09 13:00:32+00:00,9504,446,95,7
78,Is Your Phone REALLY Listening to You?,2021-07-03 13:00:31+00:00,5142,278,116,7
79,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25 13:00:12+00:00,14174,574,120,6
80,#66DaysOfData - 3 Reasons to Start!,2021-06-18 13:00:32+00:00,4066,225,41,6
81,#66DaysOfData - What is it? #shorts,2021-06-11 12:48:29+00:00,8889,383,54,6
82,A Quick Data Science Project Tip! #SHORTS,2021-06-03 13:00:06+00:00,16439,1004,89,6
83,Discouraged with Data Science? - Watch THIS video.,2021-05-28 13:00:02+00:00,7401,392,195,5
84,How Data Science Projects Pay Off,2021-05-22 13:30:03+00:00,10467,590,146,5
85,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14 13:00:03+00:00,10462,485,134,5
86,What is a lambda function (python)? #shorts,2021-05-13 00:38:55+00:00,14615,909,49,5
87,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07 13:00:30+00:00,26098,1400,59,5
88,What is Pandas? (Data & Data Science) #shorts,2021-04-30 13:00:07+00:00,22765,1157,87,4
89,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23 13:00:14+00:00,75780,3383,281,4
90,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16 13:00:00+00:00,23312,688,85,4
91,Why You Probably Won't Become a Data Scientist,2021-04-09 13:00:31+00:00,136051,3994,482,4
92,How to Go From Data Analyst to Data Scientist,2021-04-02 13:00:14+00:00,52524,1506,173,4
93,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26 13:00:03+00:00,3951,138,92,3
94,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19 13:00:32+00:00,18097,350,108,3
95,My Regrets as a Data Science Student,2021-03-12 13:00:27+00:00,23735,877,112,3
96,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08 13:00:06+00:00,3815,196,83,3
97,What is the Future of my Comment Leaderboard Project?,2021-02-26 14:00:15+00:00,5549,201,81,2
98,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19 13:00:14+00:00,6543,172,51,2
99,Why I Quit Data Science,2021-02-12 13:00:19+00:00,104302,2341,348,2
100,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29 13:00:06+00:00,10532,545,116,1
101,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23 14:00:30+00:00,6983,295,126,1
102,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16 14:00:10+00:00,9401,298,52,1
103,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08 13:00:16+00:00,21823,693,134,1
104,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02 14:00:26+00:00,36372,1129,147,1
105,What is the #66DaysOfData?,2020-12-26 14:00:31+00:00,68987,2307,210,12
106,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19 14:00:01+00:00,131111,5973,494,12
107,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10 13:00:09+00:00,10739,395,136,12
108,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07 14:00:11+00:00,23300,723,328,12
109,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20 13:00:26+00:00,26879,833,167,11
110,6 Lessons from #66DaysOfData,2020-11-13 13:00:02+00:00,6690,340,93,11
111,100K Channel Update + AMA Stream!,2020-11-12 17:34:26+00:00,2318,127,24,11
112,Find a Data Science Project With These 3 Techniques,2020-11-06 13:00:13+00:00,16547,719,106,11
113,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30 14:00:07+00:00,25950,659,156,10
114,git for Data Science Made Simple... (Hopefully),2020-10-23 15:00:10+00:00,18542,843,92,10
115,The PODCAST you might have asked for?,2020-10-19 15:00:11+00:00,2101,94,44,10
116,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16 15:00:18+00:00,6671,446,113,10
117,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14 15:00:11+00:00,13696,402,48,10
118,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12 15:00:00+00:00,6597,141,62,10
119,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09 15:00:09+00:00,10767,549,83,10
120,Sh*t Data Scientists Say (Parody),2020-10-05 15:00:08+00:00,9379,575,143,10
121,5 Proven Strategies to Break into a Data Science Job,2020-10-02 15:00:08+00:00,8572,366,93,10
122,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30 15:00:09+00:00,7046,289,61,9
123,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28 15:00:04+00:00,11368,288,69,9
124,5 Essential Data Science Projects for Your Portfolio,2020-09-26 15:00:06+00:00,71360,3064,208,9
125,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23 15:00:02+00:00,5162,196,64,9
126,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21 15:00:03+00:00,10935,442,58,9
127,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18 16:00:10+00:00,7364,250,34,9
128,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16 15:00:24+00:00,5082,193,56,9
129,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14 15:00:00+00:00,4145,157,35,9
130,The 5 Pillars of Success I Live By,2020-09-11 15:00:11+00:00,10111,873,152,9
131,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09 15:00:12+00:00,1884,78,25,9
132,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07 15:00:30+00:00,3991,161,43,9
133,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04 15:00:00+00:00,11697,733,144,9
134,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02 15:00:13+00:00,17828,567,89,9
135,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31 15:00:15+00:00,17549,786,93,8
136,Why I'm Starting Data Science Over Again.,2020-08-29 15:30:10+00:00,50653,2605,450,8
137,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26 15:00:03+00:00,14917,622,76,8
138,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24 15:00:31+00:00,12590,453,55,8
